unique_trs_id,Latitude,Longitude,BatteryisCharging,Battery Percentage,CO2,Preasure Hg,Humidity %,Temperature C,Speed KM,Date,Time
-LuU07aeOJMxx3sH-wh6,25.04057312,55.1289974,,,,,,,,,,
-LuU09XKI0JA42LAJY-r,25.04055786,55.12909745,,,,,,,,,,
-LuU0A3vINp33k3gaeZv,25.04058838,55.12911853,,,,,,,,,,
-LuU0Es46Tl5tXktqKV5,25.04058838,55.12896092,,,,,,,,,,
-LuU3QFM-peRFeBAWIwG,,,False,87.99999952316284,,,,,,,,
-LuU3UG1X9bqsBhcZv2_,25.04063416,55.12896391,,,,,,,,,,
-LuU3UzVwiqfb2xoMoC7,25.04063416,55.12896391,,,,,,,,,,
-LuWM3D_skQ9ML_Pt7ZT,25.0406189,55.12887804,,,,,,,,,,
-LuWleGLZ18Ei_oVkdiX,,,False,99.00000095367432,,,,,,,,
-LuWlr9fOQ0P-7fp-pHL,25.03799438,55.12565023,,,,,,,,,,
-LuWm7XmPLqpsQEyaD4Q,25.04129028,55.12043408,,,,,,,,,,
-LuWmN9u6TyoFJFryEpc,25.04115295,55.11591333,,,,,,,,,,
-LuWmrvQodJXPIu2sn_z,25.04333496,55.11698747,,,,,,,,,,
-LuWn1Amj_cjmbWR4JXB,25.043396,55.11699124,,,,,,,,,,
-LuWn5agno2Ckwljt4jl,25.04327393,55.1170505,,,,,,,,,,
-LuWqbtflo2FIazSllI0,,,False,93.99999976158142,,,,,,,,
-LuWqgHX6ovxr86LRURM,25.04216003,55.11825011,,,,,,,,,,
-LuXBznH02abf4mKwM5w,25.04060364,55.12892646,,,,,,,,,,
-LuXoMhTM_uPK9KG2NhV,25.04026794,55.12855165,,,,,,,,,,
-LuXoR3Cpac6Rny3C4xp,25.04052734,55.1288168,,,,,,,,,,
-LuXoSxAjdCFkEz2D_Wr,25.04060364,55.1291249,,,,,,,,,,
-LuXo_TK3aCozLhHp65g,25.04058838,55.12907744,,,,,,,,,,
-LuXoiezLvyxv66fVUMC,25.04025269,55.12846023,,,,,,,,,,
-LuYY57mT-1X9k6aV9cd,25.21000671,55.25986824,,,,,,,,,,
-LuYj-59FNPoscqGW2Sr,25.20991516,55.25975735,,,,,,,,,,
-LuYj1-dwXEbuJlSsj9K,25.20992084,55.25975735,,,,,,,,,,
-LuZ2kildU2lCqGpQ91f,25.11238098,55.18670462,,,,,,,,,,
-LuZ2lE3gLtqWbXkuL_e,25.11171683,55.18573215,,,,,,,,,,
-LuZ2m66CTNKT6hUvNWi,25.11087036,55.18451594,,,,,,,,,,
-LuZ2mhzPKTRBoJfjkZu,25.11069981,55.18428024,,,,,,,,,,
-Lucq-WUIPSx9tYLE0CH,,,False,41.999998688697815,,,,,,,,
-Lucq1uVev1YpLqoCd9B,25.04055786,55.12888617,,,,,,,,,,
-Lucq3S3xl_wm_oafMm4,25.04052734,55.12881872,,,,,,,,,,
-Lug8TTREhEIZY_cnrlq,25.04374695,55.11912912,,,,,,,,,,
-Lug8UU4h0bXfzmRZ2_f,25.04362488,55.11868454,,,,,,,,,,
-Lug8VPX5FyuQ62B3-RI,25.04364014,55.11866072,,,,,,,,,,
-LursErSfGD1A5EfEPO3,25.04780579,55.12311123,,,,,,,,,,
-Lurto1VaMYygojk79zZ,25.04811558,55.12335093,,,,,,,,,,
-LurtvKgBXUEaLdfvcvp,25.04806519,55.12336149,,,,,,,,,,
-LusN-u_gxo-TyTD_t6d,25.04822576,55.12348219,,,,,,,,,,
-LusN0u_7RWl1aXwF5OB,25.04814148,55.12347012,,,,,,,,,,
-LuvILgj6gxA9AA2Z5NQ,25.04222107,55.11831143,,,,,,,,,,
-LuvaiSo2B9sc0HmOwnC,25.04219055,55.11826927,,,,,,,,,,
-Lv-ROI_0WlTw3hVYeT0,25.26473999,55.30392051,,,,,,,,,,
-LvHDCLTezNNURKu37NM,25.11392282,55.17024952,,,,,,,,,,
-LvHDKPe5C2uk-u1pFZ0,25.11247253,55.16876022,,,,,,,,,,
-Lwbr6i9MwIb64jioQGA,25.07753447,55.12465222,,,,,,,,,,
-LuwEHrkAxJld4SL4X59,25.04060364,55.12887248,,,,,,,,,,
-Lv-nTC1qYoyYmGurjLj,25.26421668,55.30594365,,,,,,,,,,
-LvGVJW_jkLOVOWLaJIO,25.15653992,55.20510583,,,,,,,,,,
-LwXy9-NB-mftOQYtUEp,,,False,38.999998569488525,,,,,,,,
-LurtsqQNdn0nj80_nLo,25.0481041,55.12334833,,,,,,,,,,
-LuvISA5vPqg-pE6Zh4N,25.04231262,55.11832682,,,,,,,,,,
-Lv-nVX5BYFPDMPVhqaa,25.26425682,55.30594021,,,,,,,,,,
-LvGMWudTYYQoPx39mas,25.14433289,55.19453432,,,,,,,,,,
-LvGMavlQk8o8zPDbS7A,25.14497375,55.19508795,,,,,,,,,,
-Lv0y871Id3DJ52ClRXk,25.20884705,55.26334941,,,,,,,,,,
-LvBiH4Vm-cr1IUj4I9H,25.1569519,55.20551294,,,,,,,,,,
-LvGMFR6UUWmwECizWTl,25.13756109,55.18872407,,,,,,,,,,
-LvHCsPmaFI-5Q5H67bH,25.12609863,55.18201444,,,,,,,,,,
-Lurtn4_GWaNUGV99d5s,25.04803467,55.12328639,,,,,,,,,,
-Lv0y8aaxIFEWlb0abkj,25.2088659,55.26324967,,,,,,,,,,
-Lv0y99Ec2RegEX2VTBO,25.2088623,55.26324967,,,,,,,,,,
-LvGMu4cKazjMssMen9g,25.14550781,55.19554216,,,,,,,,,,
-LvGMy3WzTjClTqbcaXE,25.14607239,55.19595802,,,,,,,,,,
-LvHCoKZLUOIkFxZXgzC,25.12754822,55.18348548,,,,,,,,,,
-LvHD0lj5IVjs6myrJfd,25.12065125,55.17685143,,,,,,,,,,
-LwOpxrvNa7T3o3gqkOU,,,False,47.999998927116394,,,,,,,,
-LuTh3N0xV4SA8nwsI4Q,,,False,98.00000190734863,,,,,,,,
-LuU08o-7rfCssBAOBob,25.04058838,55.12904456,,,,,,,,,,
